theta
0.65403516
0.55338387
0.61040393
0.69765447
0.68531736
0.54353051
0.63589293
0.65130787
0.66368641
0.68548152
0.5821997
0.71896736
0.71374437
0.7122725
0.7122725
0.70167723
0.74081339
0.7254565
0.7538481
0.63766945
0.63663915
0.5915089
0.51505108
0.48470831
0.51680243
0.51180883
0.55008707
0.54364987
0.61985379
0.60842386
0.56421838
0.567122
0.57509127
0.60241038
0.49354033
0.54669861
0.58327042
0.53092985
0.65520911
0.56341307
0.69422946
0.68759711
0.60754164
0.67896507
0.67348954
0.62971755
0.63573592
0.64822278
0.48901422
0.50022432
0.58813205
0.55427997
0.54767861
0.64055094
0.62664718
0.49343124
0.55421199
0.61934085
0.53893169
0.68125284
0.55019053
0.5921834
0.70437825
0.61739311
0.55896405
0.63602142
0.5930271
0.47181475
0.48262555
0.47473427
0.45369704
0.45805494
0.59093008
0.64742384
0.47948209
0.43534407
0.6744437
0.50559141
0.51800518
0.65694396
0.58522443
0.65039441
0.65397447
0.65083285
0.6556911
0.61450985
0.6255448
0.64467233
0.56890474
0.56879053
0.39219391
0.42819943
0.70758871
0.56486888
0.57044328
0.72574538
0.57751953
0.62508415
0.59046258
0.54670692
0.59606566
0.56994877
0.57688159
0.58100504
0.69751899
0.74175743
0.47420713
0.55618058
0.57203293
0.62198894
0.61507792
0.57043687
0.56589717
0.59763156
0.65087576
0.65087576
0.62070758
0.58414994
0.66368687
0.55933372
0.65808321
0.56105544
0.55115076
0.60699921
0.54108983
0.56164132
0.61970997
0.56009608
0.60850923
0.50554537
0.50190582
0.52810123
0.53256922
0.60906764
0.58506857
0.6185735
0.53884226
0.52914453
0.44015187
0.67573449
0.67919835
0.56759026
0.58237539
0.64902556
0.52235989
0.61711265
0.61745028
0.56538206
0.6174639
0.58138457
0.63304954
0.63331286
0.68705063
0.60439408
0.60631247
0.4930757
0.61519959
0.61096566
0.61702946
0.55319234
0.48881324
0.6239643
0.56138484
0.54981611
0.67332689
0.69538419
0.58216386
0.65529963
0.5219499
0.63141919
0.62981532
0.61596808
0.62056925
0.56530434
0.56036185
0.59850951
0.58379941
0.58712388
0.50578675
